"essround_cntry","variable","estim_weight0","estim_weight1","estim_weight2","se_weight0","se_weight1","se_weight2","deff_weight0","deff_weight1","deff_weight2"
"ESS_7_GB","R__y_crpdwk__z_crpdwk",0.0364525612551964,0.0368429212744191,0.045742698000937,0.00672340567047049,0.00681461362142834,0.0119522596976975,1.364644481059,1.3841340540061,3.18798847365472
"ESS_7_GB","R__y_ctzcntr__z_ctzcntr",0.934687821459161,0.936201336000931,0.91865986469438,0.00788338205725638,0.00723996073201134,0.0122329983350666,2.30406660576425,1.98607065896451,4.53216105900238
"ESS_7_GB","R__y_dscrage__z_dscrage",0.0129239646582579,0.013030290831238,0.00898147320734232,0.00236291528749209,0.00238176751780534,0.00214429410096483,0.990559503731412,0.99826057142558,1.16906453136608
"ESS_7_GB","R__y_dscrdk__z_dscrdk",0,0,0,0,0,0,,,
"ESS_7_GB","R__y_dscrdsb__z_dscrdsb",0.0120008243255252,0.0120995557718638,0.0101453590499456,0.00248583713263157,0.00250357461588105,0.00288286750797655,1.17952816701385,1.18670176287695,1.87287872645947
"ESS_7_GB","R__y_dscretn__z_dscretn",0.0150010304069065,0.0151244447148298,0.0151049950852307,0.0030058652489776,0.00302696064790846,0.00389807846836631,1.38392572491148,1.3920533112532,2.31147801119716
"ESS_7_GB","R__y_dscrgnd__z_dscrgnd",0.0148820045280496,0.0150044396034759,0.0134624352547488,0.00271147217856044,0.00273247615513617,0.00341619476852423,1.13498796150919,1.1433042653667,1.98859859086637
"ESS_7_GB","R__y_dscrgrp__z_dscrgrp",0.139878898987583,0.140048887409259,0.149962994774792,0.00977925352689871,0.00967686297873113,0.0147116280857569,1.78529517794923,1.74610857600942,3.81190834761187
"ESS_7_GB","R__y_dscrlng__z_dscrlng",0.00646198232912894,0.00651514541561899,0.00764035562941861,0.00230989832587444,0.0023279435116845,0.00335260250776499,1.88090173392398,1.89479672888387,3.35490786369162
"ESS_7_GB","R__y_dscrna__z_dscrna",0,0,0,0,0,0,,,
"ESS_7_GB","R__y_dscrnap__z_dscrnap",0.861186405802585,0.861026486969431,0.851225711347315,0.00968175205022033,0.00958195640408974,0.0145652697156963,1.77463638735847,1.7364526632927,3.79108552507231
"ESS_7_GB","R__y_dscrntn__z_dscrntn",0.026078714399699,0.0256385265647295,0.029948027388825,0.00433146217328161,0.00408704174239977,0.00808616213586601,1.67182051776723,1.51324098483562,5.09355266113504
"ESS_7_GB","R__y_dscroth__z_dscroth",0.0263094994828821,0.0261985797608681,0.0286332621275543,0.00399751177272739,0.00390021050286845,0.00683961936388834,1.41181118580776,1.34937002246304,3.80635196762776
"ESS_7_GB","R__y_dscrrce__z_dscrrce",0.0424644553057045,0.0424864432999155,0.0504281307069777,0.0063382382308303,0.00629163775862337,0.0100753598039495,2.23607975655333,2.20209082534992,4.79755048501562
"ESS_7_GB","R__y_dscrref__z_dscrref",0,0,0,0,0,0,,,
"ESS_7_GB","R__y_dscrrlg__z_dscrrlg",0.0371563983924914,0.0374620861398092,0.0423933414409362,0.00548855721148588,0.00552660704275765,0.00730739908860938,1.90571374487088,1.91694866970643,2.97673368698256
"ESS_7_GB","R__y_dscrsex__z_dscrsex",0.0106161138264261,0.0107034531828026,0.0103875474329781,0.00220206115054737,0.00221766471553042,0.00285240680332991,1.04486212181381,1.05110107738114,1.79119921779192
"ESS_7_GB","R__y_eduyrs__z_eduyrs",13.7280383713943,13.7347779517,13.9199091771742,0.108092226296853,0.107429144042731,0.13669115841828,1.89602013725371,1.87020004460566,3.2084343512956
"ESS_7_GB","R__y_emplno__z_emplno",0.464736249330908,0.465969749919611,0.406390938746462,0.0702423875165126,0.0702309703281201,0.0713594489111057,1.07974803872118,1.08294402828585,1.1293251812908
"ESS_7_GB","R__y_emplrel__z_emplrel",0.841909789405823,0.841202930032147,0.854828640889414,0.00985591617228711,0.00983104363740859,0.0119203975553181,1.54924230012709,1.53813026100962,2.36951557163536
"ESS_7_GB","R__y_euftf__z_euftf",3.75977428422174,3.76477441460138,3.83119996689634,0.0666335534072994,0.0658593889916346,0.0898862429909538,1.56947402561802,1.53095632957913,2.93082955414005
"ESS_7_GB","R__y_facntr__z_facntr",0.797493549829683,0.797880792337061,0.763975791695526,0.0153637221870951,0.0152323624068183,0.0220692952594354,3.28732652942581,3.23560129183753,6.07450110653702
"ESS_7_GB","R__y_freehms__z_freehms",1.82566716308573,1.82490827648123,1.80547172929961,0.0239230690640235,0.0235026629881657,0.0342160936415549,1.73683007184318,1.67259948670034,3.46905915367734
